Project,Version,Suite,Test count,APFD,APFDf,TTFF,pTTFF,Misses,Hit,HitCount
Closure,104,Fastazi-S,258.0,0.1375968992248061,0.14092664092664098,223.0,0.8610038610038614,0,1,30
Closure,104,Fastazi-P,258.0,0.1375968992248061,0.14092664092664098,223.0,0.8610038610038614,0,1,30
Closure,104,Random,259.0,0.5050193050193049,0.5050193050193049,128.7,0.49691119691119684,0,1,30
Closure,105,Ekstazi+random,259.0,0.5247104247104247,0.5247104247104247,123.6,0.47722007722007725,0,1,30
Closure,105,FAST-pw,258.0,0.978682170542636,0.9787644787644788,6.0,0.023166023166023158,0,1,30
Closure,105,Fastazi-S,258.0,0.978682170542636,0.9787644787644788,6.0,0.023166023166023158,0,1,30
Closure,105,Fastazi-P,258.0,0.978682170542636,0.9787644787644788,6.0,0.023166023166023158,0,1,30
Closure,105,Random,259.0,0.5510939510939512,0.5510939510939512,116.76666666666667,0.4508365508365508,0,1,30
Closure,106,Ekstazi+random,259.0,0.545045045045045,0.545045045045045,118.33333333333333,0.4568854568854569,0,1,30
Closure,106,FAST-pw,258.0,0.812015503875969,0.8127413127413127,49.0,0.18918918918918923,0,1,30
Closure,106,Fastazi-S,258.0,0.812015503875969,0.8127413127413127,49.0,0.18918918918918923,0,1,30
Closure,106,Fastazi-P,258.0,0.812015503875969,0.8127413127413127,49.0,0.18918918918918923,0,1,30
Closure,106,Random,259.0,0.4667953667953667,0.4667953667953667,138.6,0.5351351351351352,0,1,30
Closure,107,Ekstazi+random,259.0,0.4244530244530245,0.4244530244530245,149.56666666666666,0.5774774774774776,0,1,30
Closure,107,FAST-pw,258.0,0.13372093023255804,0.13706563706563693,224.0,0.8648648648648644,0,1,30
Closure,107,Fastazi-S,258.0,0.13372093023255804,0.13706563706563693,224.0,0.8648648648648644,0,1,30
Closure,107,Fastazi-P,258.0,0.13372093023255804,0.13706563706563693,224.0,0.8648648648648644,0,1,30
Closure,107,Random,259.0,0.5050193050193049,0.5050193050193049,128.7,0.49691119691119684,0,1,30
Closure,108,Ekstazi+random,236.0,0.4665254237288135,0.5138996138996139,126.4,0.48803088803088807,0,1,30
Closure,108,FAST-pw,258.0,0.0058139534883721025,0.009652509652509635,257.0,0.992277992277992,0,1,30
Closure,108,Fastazi-S,235.0,0.0021276595744680864,0.0945945945945947,235.0,0.9073359073359067,0,1,30
Closure,108,Fastazi-P,235.0,0.006382978723404264,0.09845559845559841,234.0,0.9034749034749038,0,1,30
Closure,108,Random,259.0,0.5675675675675677,0.5675675675675677,112.5,0.43436293436293444,0,1,30
Closure,109,Ekstazi+random,222.0,0.4942942942942942,0.5665379665379664,112.76666666666667,0.43539253539253553,0,1,30
Closure,109,FAST-pw,258.0,0.978682170542636,0.9787644787644788,6.0,0.023166023166023158,0,1,30
Closure,109,Fastazi-S,221.0,0.970588235294117,0.9749034749034744,7.0,0.02702702702702701,0,1,30
Closure,109,Fastazi-P,221.0,0.975113122171945,0.9787644787644788,6.0,0.023166023166023158,0,1,30
Closure,109,Random,259.0,0.47168597168597176,0.47168597168597176,137.33333333333334,0.5302445302445303,0,1,30
Closure,110,Ekstazi+random,240.0,0.4766666666666667,0.5150579150579151,126.1,0.48687258687258694,0,1,30
Closure,110,FAST-pw,258.0,0.9670542635658917,0.9671814671814677,9.0,0.03474903474903476,0,1,30
Closure,110,Fastazi-S,239.0,0.9686192468619242,0.9710424710424707,8.0,0.030888030888030906,0,1,30
Closure,110,Fastazi-P,239.0,0.9686192468619242,0.9710424710424707,8.0,0.030888030888030906,0,1,30
Closure,110,Random,259.0,0.6176319176319178,0.6176319176319178,99.53333333333333,0.38429858429858427,0,1,30
Closure,111,Ekstazi+random,236.0,0.5389830508474576,0.5799227799227799,109.3,0.422007722007722,0,1,30
Closure,111,FAST-pw,258.0,0.6569767441860465,0.6583011583011582,89.0,0.3436293436293436,0,1,30
Closure,111,Fastazi-S,235.0,0.6404255319148934,0.6737451737451738,85.0,0.32818532818532803,0,1,30
Closure,111,Fastazi-P,235.0,0.6489361702127661,0.6814671814671815,83.0,0.3204633204633202,0,1,30
Closure,111,Random,259.0,0.46177606177606184,0.46177606177606184,139.9,0.5401544401544401,0,1,30
Closure,112,Ekstazi+random,234.0,0.6622507122507122,0.6948519948519948,79.53333333333333,0.3070785070785071,0,1,30
Closure,112,FAST-pw,258.0,0.7538759689922475,0.7548262548262553,64.0,0.24710424710424725,0,1,30
Closure,112,Fastazi-S,233.0,0.7274678111587984,0.7548262548262553,64.0,0.24710424710424725,0,1,30
Closure,112,Fastazi-P,233.0,0.7360515021459227,0.7625482625482624,62.0,0.23938223938223938,0,1,30
Closure,112,Random,259.0,0.6962676962676964,0.6962676962676964,79.16666666666667,0.3056628056628056,0,1,30
Closure,113,Ekstazi+random,239.0,0.44518828451882847,0.488030888030888,133.1,0.5138996138996139,0,1,30
Closure,113,FAST-pw,258.0,0.7538759689922475,0.7548262548262553,64.0,0.24710424710424725,0,1,30
Closure,113,Fastazi-S,238.0,0.7415966386554622,0.7625482625482624,62.0,0.23938223938223938,0,1,30
Closure,113,Fastazi-P,238.0,0.75,0.7702702702702703,60.0,0.23166023166023184,0,1,30
Closure,113,Random,259.0,0.5205920205920207,0.5205920205920207,124.66666666666667,0.4813384813384813,0,1,30
Closure,114,Ekstazi+random,216.0,0.46851851851851867,0.5567567567567567,115.3,0.44517374517374525,0,1,30
Closure,114,FAST-pw,258.0,0.8856589147286825,0.8861003861003856,30.0,0.11583011583011592,0,1,30
